IDVol,DateVol,VilleDepart,VilleArrivee,DistanceVol,DureeVol,Statut,IDAppareil
VOL00001,20220808,Paris,Dubaï,3255.26,5.44,Terminé,A035
VOL00002,20220212,Singapour,Toronto,9306.67,13.32,En cours,A083
VOL00003,20230709,Dubaï,Londres,3398.47,4.7,Terminé,A064
VOL00004,20230508,Londres,Madrid,793.57,1.81,Terminé,A138
VOL00005,20230325,Tokyo,Dubaï,4960.83,8.17,En cours,A149
VOL00006,20221004,Londres,Rome,899.67,1.98,Terminé,A033
VOL00007,20220720,Singapour,Londres,6740.61,10.14,En cours,A025
VOL00008,20220619,Madrid,Toronto,3747.34,6.47,Terminé,A130
VOL00009,20240505,Los Angeles,Paris,7516.55,11.0,Terminé,A122
VOL00010,20220226,Moscou,Londres,1553.78,3.82,En cours,A138
VOL00011,20220222,Moscou,Rome,1478.07,2.58,Terminé,A081
VOL00012,20220702,Moscou,Toronto,4638.08,5.82,Terminé,A027
VOL00013,20230315,New York,Dubaï,6829.02,9.88,Annulé,A059
VOL00014,20230413,Beijing,New York,6811.61,9.86,En cours,A090
VOL00015,20241022,Beijing,Sydney,6474.53,8.89,Terminé,A142
VOL00016,20220215,Berlin,Moscou,998.88,2.29,En cours,A058
VOL00017,20230203,Hong Kong,Londres,5970.86,8.82,Terminé,A120
VOL00018,20240430,Singapour,Rome,6219.28,8.01,En cours,A069
VOL00019,20230319,New York,Madrid,3578.54,5.26,Terminé,A148
VOL00020,20240629,Paris,Moscou,1537.4,3.31,En cours,A014
VOL00021,20230715,New York,Berlin,3968.08,6.92,Terminé,A118
VOL00022,20220105,Londres,Hong Kong,5970.86,8.95,Annulé,A113
VOL00023,20221114,Hong Kong,Los Angeles,11327.82,15.94,Terminé,A128
VOL00024,20240506,Moscou,Tokyo,4665.82,6.17,Terminé,A112
VOL00025,20231119,Rome,Moscou,1478.07,2.58,Terminé,A017
VOL00026,20230715,Dubaï,Toronto,6864.43,8.98,En cours,A044
VOL00027,20221106,Tokyo,Paris,6038.73,7.95,Annulé,A006
VOL00028,20230308,New York,Toronto,352.45,2.13,En cours,A144
VOL00029,20231112,Hong Kong,Berlin,5426.18,7.59,Annulé,A115
VOL00030,20220720,Singapour,Sydney,9010.03,11.73,Terminé,A144
VOL00031,20220630,Singapour,Sydney,9010.03,12.11,En cours,A015
VOL00032,20240209,Dubaï,New York,6829.02,9.53,En cours,A089
VOL00033,20220709,Los Angeles,Berlin,8052.31,11.6,Terminé,A123
VOL00034,20231228,New York,Rome,4281.0,6.88,Terminé,A038
VOL00035,20231127,Paris,Moscou,1537.4,3.11,Annulé,A017
VOL00036,20230617,Rome,Berlin,732.34,2.43,Terminé,A091
VOL00037,20220321,Paris,Londres,208.87,1.86,Terminé,A017
VOL00038,20240720,Tokyo,Los Angeles,10622.14,15.16,Annulé,A071
VOL00039,20220904,Hong Kong,Berlin,5426.18,7.49,En cours,A146
VOL00040,20240206,Beijing,Paris,5093.95,7.7,En cours,A065
VOL00041,20220602,Madrid,Singapour,7074.64,10.74,En cours,A008
VOL00042,20230815,Singapour,Moscou,5232.45,8.52,Terminé,A126
VOL00043,20240102,Toronto,Londres,3540.12,5.45,Terminé,A111
VOL00044,20230120,Madrid,New York,3578.54,4.77,Terminé,A035
VOL00045,20220514,Rome,Londres,899.67,2.03,Terminé,A102
VOL00046,20220326,Paris,Moscou,1537.4,2.17,Annulé,A056
VOL00047,20230403,Madrid,Moscou,2144.38,3.66,Terminé,A116
VOL00048,20230807,Moscou,Los Angeles,9047.39,11.77,Terminé,A080
VOL00049,20220604,Madrid,Paris,671.16,2.72,Annulé,A138
VOL00050,20230413,Tokyo,Toronto,6395.8,8.05,Terminé,A078
VOL00051,20220717,Los Angeles,Dubaï,9281.76,13.08,Terminé,A085
VOL00052,20240209,Londres,Berlin,583.63,2.39,Terminé,A060
VOL00053,20230715,Hong Kong,Beijing,1237.81,2.54,Terminé,A146
VOL00054,20240708,Tokyo,New York,6719.12,8.45,Terminé,A131
VOL00055,20240109,Berlin,Madrid,1166.49,1.82,En cours,A105
VOL00056,20221121,Berlin,Dubaï,2861.96,4.79,Terminé,A037
VOL00057,20240120,Rome,Londres,899.67,1.78,Terminé,A139
VOL00058,20231220,Hong Kong,Paris,5964.82,8.06,Terminé,A081
VOL00059,20230225,Tokyo,Paris,6038.73,8.79,Terminé,A002
VOL00060,20230622,Paris,Beijing,5093.95,7.89,En cours,A014
VOL00061,20220518,Beijing,Dubaï,3634.71,5.87,Terminé,A092
